implementation,batch_size,feature_dim,sequence_length,stages,alloc_peak_gb,reserved_peak_gb,execution_time_s,memory_efficiency
Triton,4,64,1024,10,0.00907135009765625,0.021484375,0.00042128562927246094,6.035532994923858
Triton,4,64,2048,11,0.01021575927734375,0.0234375,0.0007612705230712891,3.389873417721519
Triton,4,64,4096,12,0.01251220703125,0.021484375,0.0019073486328125,2.0707070707070705
Triton,4,64,8192,13,0.017120361328125,0.021484375,0.0049283504486083984,1.4130982367758187
Triton,4,64,1024,10,0.00907135009765625,0.021484375,0.00040268898010253906,6.035532994923858
Triton,8,64,1024,10,0.01004791259765625,0.0234375,0.04495978355407715,3.38560411311054
Triton,16,64,1024,10,0.01200103759765625,0.021484375,0.039792776107788086,2.034928848641656
Triton,32,64,1024,10,0.01590728759765625,0.021484375,0.04945182800292969,1.3530175210902011
