B,F,L,baseline_ms,pipelined_ms,max_diff
4,64,256,0.19833087921142578,0.22012948989868164,0.0
4,64,1024,0.419619083404541,0.9357571601867676,0.0
4,128,2048,2.308349609375,3.127126693725586,0.0
8,64,4096,5.896430015563965,7.1070146560668945,0.0
