L,num_warps,time_ms
128,4,0.025224685668945312
128,8,0.022101402282714844
128,16,0.023221969604492188
256,4,0.022792816162109375
256,8,0.022459030151367188
256,16,0.023221969604492188
512,4,0.023031234741210938
512,8,0.022745132446289062
512,16,0.024461746215820312
1024,4,0.024080276489257812
1024,8,0.026226043701171875
1024,16,0.041937828063964844
2048,4,0.037169456481933594
2048,8,0.04668235778808594
2048,16,0.07808208465576172
